,user,text,favourite_count,retweet_count,created_at
0,elonmusk,@micsolana You don’t say …,251,12,2022-11-18 16:40:26+00:00
1,elonmusk,@SamTwits Of course not ❤️,12233,462,2022-11-18 15:56:43+00:00
2,elonmusk,@DrKrusher 🥱,9689,337,2022-11-18 15:33:16+00:00
3,elonmusk,@MikeDulaimi I stand corrected!,8722,258,2022-11-18 15:20:01+00:00
4,elonmusk,https://t.co/OjhQJvruTy,280751,39438,2022-11-18 15:16:30+00:00
5,elonmusk,@lionxmah @folha ?,2051,99,2022-11-18 10:26:25+00:00
6,elonmusk,@AOC You’re welcome,333334,14165,2022-11-18 09:47:40+00:00
7,elonmusk,"@WholeMarsBlog Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",37274,4109,2022-11-18 09:25:02+00:00
8,elonmusk,@piersmorgan Seriously,90593,3593,2022-11-18 08:56:22+00:00
9,elonmusk,https://t.co/JU073T756X,261093,19240,2022-11-18 06:40:12+00:00
10,elonmusk,https://t.co/rbwbsLA1ZG,1505517,183063,2022-11-18 04:23:16+00:00
11,elonmusk,🏴‍☠️,401137,28224,2022-11-18 04:20:14+00:00
12,elonmusk,@ashleevance 🤣,7469,240,2022-11-18 04:19:11+00:00
13,elonmusk,Let that sink in …,174788,7688,2022-11-18 04:12:21+00:00
14,elonmusk,And … we just hit another all-time high in Twitter usage lol,529836,37751,2022-11-18 04:07:05+00:00
15,elonmusk,"@stoolpresidente The best people are staying, so I’m not super worried",161790,11401,2022-11-18 03:58:03+00:00
16,elonmusk,"@bgurley @MichaelGuimarin Don’t wanna jinx it, but there’s a chance we can keep Twitter alive … https://t.co/mk3aCq0dEB",11135,1116,2022-11-18 03:46:11+00:00
17,elonmusk,@anothercohen Thanks for helping out. You’re a lifesaver!,117727,4314,2022-11-18 03:34:58+00:00
18,elonmusk,@MichaelGuimarin Thanks!,15159,395,2022-11-18 01:29:38+00:00
19,elonmusk,"How do you make a small fortune in social media?

Start out with a large one.",374551,23083,2022-11-18 01:25:55+00:00
20,elonmusk,@growing_daniel @micsolana 🤣,32642,1343,2022-11-17 23:34:38+00:00
21,elonmusk,"@EvaFoxU The media constantly writing about Twitter is driving usage to all-time highs, so it’s fine by me!",97075,7185,2022-11-17 23:28:28+00:00
22,elonmusk,@MinimalDuck @Tesla Cybertruck is something special that comes along once in a long while,43095,2199,2022-11-17 20:28:52+00:00
23,elonmusk,"@heydave7 Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.

Somehow, other countries do just fine without class-action law.",12108,1280,2022-11-17 17:53:14+00:00
24,elonmusk,@heydave7 The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,13833,978,2022-11-17 17:50:20+00:00
25,elonmusk,@AutismCapital Ok,6711,183,2022-11-17 17:41:14+00:00
26,elonmusk,@chazman We’re working on something that should rank replies automatically,12590,607,2022-11-17 15:31:43+00:00
27,elonmusk,Twitter is like open-sourcing the news,376784,30474,2022-11-17 15:26:13+00:00
28,elonmusk,@dogeofficialceo Polycule 🔥🔥,16355,789,2022-11-17 15:24:04+00:00
29,elonmusk,@sama Probably,6869,286,2022-11-17 15:21:51+00:00
30,elonmusk,@Dilbert_Daily Even TikTok is super dependent on ads,24373,1290,2022-11-17 15:21:10+00:00
